family,bucket,role,population_n,population_share,eligible_n,eligible_share,final_100_target,candidate_300_target,selected_300_n,selected_share,selected_minus_target,share_delta_percentage_points
workload_bucket,bugfix | developer_tooling | support_only,fixed_threefold_quota,2,0.0009041591320072332,1,0.0006622516556291391,0,0,0,0.0,0,-0.09041591320072333
workload_bucket,bugfix | production_code | multi_component,fixed_threefold_quota,223,0.10081374321880651,153,0.10132450331125828,9,27,27,0.09,0,-1.0813743218806515
workload_bucket,bugfix | production_code | single_component,fixed_threefold_quota,762,0.3444846292947559,501,0.33178807947019867,36,108,108,0.36,0,1.5515370705244114
workload_bucket,bugfix | tests | support_only,fixed_threefold_quota,6,0.0027124773960217,5,0.0033112582781456954,0,0,0,0.0,0,-0.27124773960216997
workload_bucket,build | benchmarks | support_only,fixed_threefold_quota,2,0.0009041591320072332,2,0.0013245033112582781,0,0,0,0.0,0,-0.09041591320072333
workload_bucket,build | build | support_only,fixed_threefold_quota,127,0.057414104882459314,68,0.045033112582781455,5,15,15,0.05,0,-0.7414104882459311
workload_bucket,build | production_code | multi_component,fixed_threefold_quota,4,0.0018083182640144665,4,0.0026490066225165563,0,0,0,0.0,0,-0.18083182640144665
workload_bucket,build | production_code | single_component,fixed_threefold_quota,8,0.003616636528028933,3,0.001986754966887417,1,3,3,0.01,0,0.6383363471971067
workload_bucket,build | tests | support_only,fixed_threefold_quota,6,0.0027124773960217,5,0.0033112582781456954,1,3,3,0.01,0,0.72875226039783
workload_bucket,ci | benchmarks | support_only,fixed_threefold_quota,1,0.0004520795660036166,1,0.0006622516556291391,0,0,0,0.0,0,-0.045207956600361664
workload_bucket,ci | build | support_only,fixed_threefold_quota,12,0.0054249547920434,7,0.004635761589403974,1,3,3,0.01,0,0.45750452079566006
workload_bucket,ci | ci | support_only,fixed_threefold_quota,106,0.04792043399638336,52,0.03443708609271523,5,15,15,0.05,0,0.20795660036166397
workload_bucket,ci | developer_tooling | support_only,fixed_threefold_quota,4,0.0018083182640144665,2,0.0013245033112582781,0,0,0,0.0,0,-0.18083182640144665
workload_bucket,ci | production_code | multi_component,fixed_threefold_quota,9,0.00406871609403255,9,0.005960264900662252,0,0,0,0.0,0,-0.406871609403255
workload_bucket,ci | production_code | single_component,fixed_threefold_quota,8,0.003616636528028933,7,0.004635761589403974,0,0,0,0.0,0,-0.3616636528028933
workload_bucket,ci | tests | support_only,fixed_threefold_quota,13,0.005877034358047016,11,0.00728476821192053,1,3,3,0.01,0,0.4122965641952984
workload_bucket,feature | benchmarks | support_only,fixed_threefold_quota,11,0.004972875226039783,5,0.0033112582781456954,1,3,3,0.01,0,0.5027124773960218
workload_bucket,feature | build | support_only,fixed_threefold_quota,1,0.0004520795660036166,0,0.0,0,0,0,0.0,0,-0.045207956600361664
workload_bucket,feature | other | support_only,fixed_threefold_quota,1,0.0004520795660036166,0,0.0,0,0,0,0.0,0,-0.045207956600361664
workload_bucket,feature | production_code | multi_component,fixed_threefold_quota,169,0.07640144665461121,125,0.08278145695364239,7,21,21,0.07,0,-0.6401446654611204
workload_bucket,feature | production_code | single_component,fixed_threefold_quota,195,0.08815551537070525,158,0.10463576158940398,9,27,27,0.09,0,0.18444846292947487
workload_bucket,feature | tests | support_only,fixed_threefold_quota,5,0.0022603978300180833,4,0.0026490066225165563,0,0,0,0.0,0,-0.22603978300180833
workload_bucket,maintenance | benchmarks | support_only,fixed_threefold_quota,2,0.0009041591320072332,2,0.0013245033112582781,0,0,0,0.0,0,-0.09041591320072333
workload_bucket,maintenance | developer_tooling | support_only,fixed_threefold_quota,4,0.0018083182640144665,3,0.001986754966887417,0,0,0,0.0,0,-0.18083182640144665
workload_bucket,maintenance | production_code | multi_component,fixed_threefold_quota,12,0.0054249547920434,8,0.005298013245033113,1,3,3,0.01,0,0.45750452079566006
workload_bucket,maintenance | production_code | single_component,fixed_threefold_quota,41,0.018535262206148283,27,0.017880794701986755,2,6,6,0.02,0,0.14647377938517175
workload_bucket,other | production_code | multi_component,fixed_threefold_quota,8,0.003616636528028933,6,0.003973509933774834,1,3,3,0.01,0,0.6383363471971067
workload_bucket,other | production_code | single_component,fixed_threefold_quota,11,0.004972875226039783,7,0.004635761589403974,0,0,0,0.0,0,-0.4972875226039783
workload_bucket,performance | benchmarks | support_only,fixed_threefold_quota,3,0.00135623869801085,1,0.0006622516556291391,0,0,0,0.0,0,-0.13562386980108498
workload_bucket,performance | build | support_only,fixed_threefold_quota,10,0.0045207956600361665,8,0.005298013245033113,1,3,3,0.01,0,0.5479204339963833
workload_bucket,performance | production_code | multi_component,fixed_threefold_quota,33,0.014918625678119348,28,0.018543046357615896,2,6,6,0.02,0,0.5081374321880652
workload_bucket,performance | production_code | single_component,fixed_threefold_quota,69,0.031193490054249547,63,0.041721854304635764,2,6,6,0.02,0,-1.1193490054249546
workload_bucket,refactor | benchmarks | support_only,fixed_threefold_quota,2,0.0009041591320072332,1,0.0006622516556291391,0,0,0,0.0,0,-0.09041591320072333
workload_bucket,refactor | production_code | multi_component,fixed_threefold_quota,60,0.027124773960216998,43,0.02847682119205298,3,9,9,0.03,0,0.28752260397830015
workload_bucket,refactor | production_code | single_component,fixed_threefold_quota,135,0.06103074141048825,103,0.06821192052980132,6,18,18,0.06,0,-0.10307414104882492
workload_bucket,refactor | tests | support_only,fixed_threefold_quota,2,0.0009041591320072332,2,0.0013245033112582781,0,0,0,0.0,0,-0.09041591320072333
workload_bucket,test | production_code | single_component,fixed_threefold_quota,1,0.0004520795660036166,1,0.0006622516556291391,0,0,0,0.0,0,-0.045207956600361664
workload_bucket,test | tests | support_only,fixed_threefold_quota,100,0.045207956600361664,64,0.0423841059602649,4,12,12,0.04,0,-0.5207956600361663
architecture_components,attention,calibrated_threefold_target,96,0.0433996383363472,58,0.038410596026490065,4,12,12,0.04,0,-0.33996383363471966
architecture_components,compilation,calibrated_threefold_target,66,0.029837251356238697,46,0.030463576158940398,3,9,9,0.03,0,0.016274864376130196
architecture_components,configuration_shared_infrastructure,calibrated_threefold_target,55,0.024864376130198915,38,0.025165562913907286,2,6,6,0.02,0,-0.4864376130198914
architecture_components,device_platform,calibrated_threefold_target,45,0.02034358047016275,25,0.016556291390728478,2,6,6,0.02,0,-0.03435804701627486
architecture_components,distributed_execution,calibrated_threefold_target,62,0.02802893309222423,42,0.02781456953642384,3,9,9,0.03,0,0.1971066907775768
architecture_components,engine,calibrated_threefold_target,64,0.028933092224231464,53,0.035099337748344374,3,9,9,0.03,0,0.10669077757685351
architecture_components,input_processing_multimodal,calibrated_threefold_target,333,0.15054249547920434,261,0.1728476821192053,15,45,45,0.15,0,-0.05424954792043468
architecture_components,kernels_operators,calibrated_threefold_target,130,0.05877034358047016,81,0.05364238410596026,6,18,18,0.06,0,0.1229656419529837
architecture_components,kv_cache_data_movement,calibrated_threefold_target,241,0.1089511754068716,201,0.13311258278145696,11,33,33,0.11,0,0.10488245931283974
architecture_components,lora,calibrated_threefold_target,38,0.017179023508137433,29,0.019205298013245033,2,6,6,0.02,0,0.28209764918625674
architecture_components,model_implementation,calibrated_threefold_target,229,0.1035262206148282,134,0.08874172185430464,10,30,30,0.1,0,-0.3526220614828199
architecture_components,model_loading_layers,calibrated_threefold_target,109,0.049276672694394216,66,0.04370860927152318,5,15,15,0.05,0,0.07233273056057865
architecture_components,moe,calibrated_threefold_target,64,0.028933092224231464,42,0.02781456953642384,3,9,9,0.03,0,0.10669077757685351
architecture_components,other,calibrated_threefold_target,59,0.02667269439421338,47,0.031125827814569535,3,9,9,0.03,0,0.3327305605786618
architecture_components,quantization,calibrated_threefold_target,85,0.03842676311030741,47,0.031125827814569535,4,12,12,0.04,0,0.1573236889692589
architecture_components,reliability_observability,calibrated_threefold_target,82,0.037070524412296565,48,0.031788079470198675,4,12,12,0.04,0,0.2929475587703435
architecture_components,sampling,calibrated_threefold_target,57,0.025768535262206148,40,0.026490066225165563,3,9,9,0.03,0,0.4231464737793851
architecture_components,scheduler,calibrated_threefold_target,43,0.019439421338155516,38,0.025165562913907286,2,6,6,0.02,0,0.056057866184448454
architecture_components,serving_api,calibrated_threefold_target,452,0.20433996383363473,356,0.23576158940397351,20,60,60,0.2,0,-0.4339963833634719
architecture_components,speculative_decoding,calibrated_threefold_target,58,0.026220614828209764,39,0.025827814569536423,3,9,9,0.03,0,0.37793851717902344
architecture_components,worker_model_runner,calibrated_threefold_target,80,0.03616636528028933,61,0.04039735099337748,4,12,12,0.04,0,0.38336347197106685
project_scope,benchmarks,calibrated_threefold_target,93,0.042043399638336344,58,0.038410596026490065,4,12,12,0.04,0,-0.20433996383363434
project_scope,build,calibrated_threefold_target,293,0.13245931283905968,186,0.12317880794701987,13,39,39,0.13,0,-0.2459312839059674
project_scope,ci,calibrated_threefold_target,224,0.10126582278481013,148,0.09801324503311258,10,30,30,0.1,0,-0.12658227848101195
project_scope,developer_tooling,calibrated_threefold_target,61,0.027576853526220614,43,0.02847682119205298,3,9,9,0.03,0,0.24231464737793848
project_scope,documentation_examples,calibrated_threefold_target,191,0.08634719710669078,143,0.09470198675496688,9,27,27,0.09,0,0.3652802893309215
project_scope,other,calibrated_threefold_target,1,0.0004520795660036166,0,0.0,0,0,0,0.0,0,-0.045207956600361664
project_scope,production_code,calibrated_threefold_target,1748,0.7902350813743219,1246,0.8251655629139073,79,237,237,0.79,0,-0.023508137432182163
project_scope,tests,calibrated_threefold_target,1115,0.5040687160940326,959,0.6350993377483444,50,150,150,0.5,0,-0.4068716094032587
scope_integration,cross_scope:false,calibrated_threefold_target,1030,0.4656419529837251,498,0.32980132450331123,47,141,141,0.47,0,0.43580470162748464
scope_integration,cross_scope:true,calibrated_threefold_target,1182,0.5343580470162749,1012,0.6701986754966888,53,159,159,0.53,0,-0.43580470162748464
scope_integration,project_scope_count:1,calibrated_threefold_target,1030,0.4656419529837251,498,0.32980132450331123,47,141,141,0.47,0,0.43580470162748464
scope_integration,project_scope_count:2,calibrated_threefold_target,927,0.4190777576853526,801,0.5304635761589404,42,126,126,0.42,0,0.09222423146473813
scope_integration,project_scope_count:3+,calibrated_threefold_target,255,0.11528028933092224,211,0.13973509933774833,11,33,33,0.11,0,-0.5280289330922241
merged_month,2026-02,calibrated_threefold_target,316,0.14285714285714285,185,0.12251655629139073,14,42,42,0.14,0,-0.2857142857142836
merged_month,2026-03,calibrated_threefold_target,433,0.195750452079566,283,0.18741721854304635,20,60,60,0.2,0,0.4249547920433999
merged_month,2026-04,calibrated_threefold_target,296,0.13381555153707053,190,0.12582781456953643,13,39,39,0.13,0,-0.38155515370705273
merged_month,2026-05,calibrated_threefold_target,317,0.14330922242314648,210,0.1390728476821192,14,42,42,0.14,0,-0.3309222423146463
merged_month,2026-06,calibrated_threefold_target,429,0.19394213381555153,328,0.21721854304635763,20,60,60,0.2,0,0.6057866184448479
merged_month,2026-07,calibrated_threefold_target,421,0.1903254972875226,314,0.20794701986754968,19,57,57,0.19,0,-0.0325497287522597
affected_hardware,platform:amd_rocm,calibrated_threefold_target,189,0.08544303797468354,115,0.076158940397351,9,27,27,0.09,0,0.4556962025316455
affected_hardware,platform:ascend_npu,calibrated_threefold_target,1,0.0004520795660036166,0,0.0,0,0,0,0.0,0,-0.045207956600361664
affected_hardware,platform:backend_agnostic,calibrated_threefold_target,1596,0.7215189873417721,1127,0.7463576158940397,72,216,216,0.72,0,-0.15189873417721378
affected_hardware,platform:cpu,calibrated_threefold_target,294,0.13291139240506328,206,0.13642384105960265,13,39,39,0.13,0,-0.29113924050632733
affected_hardware,platform:google_tpu,calibrated_threefold_target,18,0.0081374321880651,9,0.005960264900662252,1,3,3,0.01,0,0.18625678119349004
affected_hardware,platform:intel_xpu,calibrated_threefold_target,59,0.02667269439421338,35,0.023178807947019868,3,9,9,0.03,0,0.3327305605786618
affected_hardware,platform:nvidia_cuda,calibrated_threefold_target,195,0.08815551537070525,111,0.07350993377483443,9,27,27,0.09,0,0.18444846292947487
affected_hardware,platform:other,calibrated_threefold_target,5,0.0022603978300180833,3,0.001986754966887417,0,0,0,0.0,0,-0.22603978300180833
affected_hardware,scope:backend_agnostic,calibrated_threefold_target,1596,0.7215189873417721,1127,0.7463576158940397,72,216,216,0.72,0,-0.15189873417721378
affected_hardware,scope:backend_specific,calibrated_threefold_target,528,0.23869801084990958,323,0.2139072847682119,24,72,72,0.24,0,0.13019891500904157
affected_hardware,scope:cross_backend,calibrated_threefold_target,88,0.039783001808318265,60,0.039735099337748346,4,12,12,0.04,0,0.021699819168173595
patch_size,11-50,calibrated_threefold_target,525,0.23734177215189872,389,0.2576158940397351,24,72,72,0.24,0,0.2658227848101269
patch_size,201-500,calibrated_threefold_target,302,0.13652802893309224,265,0.17549668874172186,14,42,42,0.14,0,0.3471971066907775
patch_size,5-10,calibrated_threefold_target,524,0.23688969258589512,156,0.10331125827814569,24,72,72,0.24,0,0.3110307414104868
patch_size,501-2000,calibrated_threefold_target,235,0.10623869801084991,170,0.11258278145695365,10,30,30,0.1,0,-0.6238698010849906
patch_size,51-200,calibrated_threefold_target,626,0.283001808318264,530,0.3509933774834437,28,84,84,0.28,0,-0.30018083182639654
author_association,COLLABORATOR,calibrated_threefold_target,255,0.11528028933092224,173,0.11456953642384106,11,33,33,0.11,0,-0.5280289330922241
author_association,CONTRIBUTOR,calibrated_threefold_target,1298,0.5867992766726944,900,0.5960264900662252,59,177,177,0.59,0,0.3200723327305588
author_association,MEMBER,calibrated_threefold_target,645,0.29159132007233274,430,0.2847682119205298,29,87,87,0.29,0,-0.1591320072332758
author_association,NONE,calibrated_threefold_target,13,0.005877034358047016,6,0.003973509933774834,1,3,3,0.01,0,0.4122965641952984
author_association,unknown,calibrated_threefold_target,1,0.0004520795660036166,1,0.0006622516556291391,0,0,0,0.0,0,-0.045207956600361664
