signature,n,denominator,share
test | tests | support_only | backend_agnostic,133,5649,0.023543990086741014
bugfix | production_code | model_implementation | nvidia_cuda,12,5649,0.002124269782262347
refactor | production_code+tests | serving_api | backend_agnostic,12,5649,0.002124269782262347
build | build | support_only | google_tpu,12,5649,0.002124269782262347
bugfix | production_code | moe | nvidia_cuda,12,5649,0.002124269782262347
performance | production_code | attention+kernels_operators | amd_rocm,12,5649,0.002124269782262347
refactor | production_code | input_processing_multimodal | backend_agnostic,12,5649,0.002124269782262347
bugfix | production_code+tests | input_processing_multimodal+model_implementation | backend_agnostic,12,5649,0.002124269782262347
feature | production_code+tests | kernels_operators+moe+quantization | nvidia_cuda,12,5649,0.002124269782262347
performance | production_code | compilation | backend_agnostic,11,5649,0.0019472473004071517
bugfix | production_code | distributed_execution | backend_agnostic,11,5649,0.0019472473004071517
performance | production_code | model_implementation | backend_agnostic,11,5649,0.0019472473004071517
bugfix | production_code | distributed_execution | nvidia_cuda,11,5649,0.0019472473004071517
bugfix | production_code | attention | backend_agnostic,11,5649,0.0019472473004071517
bugfix | production_code+tests | kv_cache_data_movement+scheduler | backend_agnostic,11,5649,0.0019472473004071517
bugfix | production_code+tests | sampling | backend_agnostic,10,5649,0.0017702248185519562
bugfix | production_code | kernels_operators+moe+quantization | nvidia_cuda,10,5649,0.0017702248185519562
bugfix | production_code | engine | backend_agnostic,10,5649,0.0017702248185519562
performance | production_code+tests | kv_cache_data_movement | backend_agnostic,10,5649,0.0017702248185519562
performance | production_code+tests | input_processing_multimodal | backend_agnostic,10,5649,0.0017702248185519562
performance | production_code | worker_model_runner | backend_agnostic,10,5649,0.0017702248185519562
bugfix | production_code | quantization | amd_rocm,10,5649,0.0017702248185519562
bugfix | build | support_only | amd_rocm,10,5649,0.0017702248185519562
build | build+ci | support_only | amd_rocm,10,5649,0.0017702248185519562
feature | production_code+tests | input_processing_multimodal+serving_api | backend_agnostic,10,5649,0.0017702248185519562
feature | documentation_examples+production_code+tests | kv_cache_data_movement | backend_agnostic,10,5649,0.0017702248185519562
test | ci+tests | support_only | nvidia_cuda,10,5649,0.0017702248185519562
ci | ci | support_only | amd_rocm+nvidia_cuda,10,5649,0.0017702248185519562
bugfix | production_code | quantization | nvidia_cuda,10,5649,0.0017702248185519562
bugfix | production_code+tests | attention | nvidia_cuda,10,5649,0.0017702248185519562
ci | ci+tests | support_only | nvidia_cuda,10,5649,0.0017702248185519562
bugfix | production_code | distributed_execution+engine | backend_agnostic,9,5649,0.0015932023366967605
ci | build+ci | support_only | amd_rocm,9,5649,0.0015932023366967605
bugfix | production_code | moe | backend_agnostic,9,5649,0.0015932023366967605
feature | production_code | kernels_operators+quantization | intel_xpu,9,5649,0.0015932023366967605
bugfix | production_code | speculative_decoding+worker_model_runner | backend_agnostic,9,5649,0.0015932023366967605
performance | production_code+tests | kernels_operators+quantization | nvidia_cuda,9,5649,0.0015932023366967605
bugfix | production_code | model_implementation+quantization | backend_agnostic,9,5649,0.0015932023366967605
feature | documentation_examples+production_code+tests | compilation+model_implementation | nvidia_cuda,9,5649,0.0015932023366967605
bugfix | production_code+tests | kv_cache_data_movement | cpu,9,5649,0.0015932023366967605
feature | production_code+tests | input_processing_multimodal | backend_agnostic,9,5649,0.0015932023366967605
bugfix | production_code | sampling | backend_agnostic,9,5649,0.0015932023366967605
refactor | production_code | model_loading_layers | backend_agnostic,8,5649,0.0014161798548415648
bugfix | production_code+tests | worker_model_runner | backend_agnostic,8,5649,0.0014161798548415648
test | tests | support_only | cpu,8,5649,0.0014161798548415648
documentation | documentation_examples | support_only | intel_xpu,8,5649,0.0014161798548415648
feature | documentation_examples+production_code+tests | model_implementation | backend_agnostic,8,5649,0.0014161798548415648
bugfix | production_code+tests | distributed_execution | backend_agnostic,8,5649,0.0014161798548415648
feature | benchmarks | support_only | backend_agnostic,8,5649,0.0014161798548415648
bugfix | production_code+tests | scheduler | backend_agnostic,8,5649,0.0014161798548415648
documentation | documentation_examples | support_only | cpu,8,5649,0.0014161798548415648
bugfix | production_code | moe+quantization | amd_rocm,8,5649,0.0014161798548415648
bugfix | production_code | compilation+worker_model_runner | backend_agnostic,8,5649,0.0014161798548415648
bugfix | production_code | attention+kernels_operators | amd_rocm,8,5649,0.0014161798548415648
bugfix | production_code | lora | backend_agnostic,8,5649,0.0014161798548415648
bugfix | production_code | moe | amd_rocm,8,5649,0.0014161798548415648
maintenance | production_code | reliability_observability | backend_agnostic,7,5649,0.0012391573729863693
bugfix | production_code+tests | engine | backend_agnostic,7,5649,0.0012391573729863693
refactor | production_code | worker_model_runner | backend_agnostic,7,5649,0.0012391573729863693
performance | production_code | attention | backend_agnostic,7,5649,0.0012391573729863693
bugfix | production_code+tests | speculative_decoding | backend_agnostic,7,5649,0.0012391573729863693
bugfix | production_code | model_loading_layers+quantization | backend_agnostic,7,5649,0.0012391573729863693
build | build+ci | support_only | intel_xpu,7,5649,0.0012391573729863693
refactor | production_code+tests | kv_cache_data_movement | cpu,7,5649,0.0012391573729863693
build | build | support_only | intel_xpu,7,5649,0.0012391573729863693
bugfix | production_code+tests | kernels_operators+moe+quantization | nvidia_cuda,7,5649,0.0012391573729863693
feature | production_code | model_implementation | backend_agnostic,7,5649,0.0012391573729863693
bugfix | production_code | compilation | amd_rocm,7,5649,0.0012391573729863693
feature | production_code | model_implementation+speculative_decoding | backend_agnostic,7,5649,0.0012391573729863693
refactor | production_code+tests | kv_cache_data_movement | backend_agnostic,7,5649,0.0012391573729863693
bugfix | production_code | kernels_operators+quantization | amd_rocm,7,5649,0.0012391573729863693
bugfix | production_code | device_platform | cpu,7,5649,0.0012391573729863693
bugfix | production_code+tests | lora | backend_agnostic,7,5649,0.0012391573729863693
bugfix | production_code | worker_model_runner | cpu,7,5649,0.0012391573729863693
performance | production_code | model_loading_layers | backend_agnostic,7,5649,0.0012391573729863693
bugfix | documentation_examples | support_only | backend_agnostic,7,5649,0.0012391573729863693
documentation | documentation_examples | support_only | amd_rocm,7,5649,0.0012391573729863693
feature | production_code+tests | worker_model_runner | backend_agnostic,6,5649,0.0010621348911311736
bugfix | production_code | distributed_execution+moe | nvidia_cuda,6,5649,0.0010621348911311736
refactor | production_code | kv_cache_data_movement | backend_agnostic,6,5649,0.0010621348911311736
bugfix | production_code+tests | moe+quantization | nvidia_cuda,6,5649,0.0010621348911311736
bugfix | production_code | model_implementation+model_loading_layers | backend_agnostic,6,5649,0.0010621348911311736
other | documentation_examples+production_code+tests | model_implementation | backend_agnostic,6,5649,0.0010621348911311736
refactor | production_code+tests | input_processing_multimodal+serving_api | backend_agnostic,6,5649,0.0010621348911311736
bugfix | production_code | kernels_operators | nvidia_cuda,6,5649,0.0010621348911311736
bugfix | production_code | configuration_shared_infrastructure | backend_agnostic,6,5649,0.0010621348911311736
ci | ci+tests | support_only | amd_rocm+nvidia_cuda,6,5649,0.0010621348911311736
refactor | production_code | model_implementation | backend_agnostic,6,5649,0.0010621348911311736
bugfix | production_code | compilation+distributed_execution | nvidia_cuda,6,5649,0.0010621348911311736
bugfix | production_code | compilation | nvidia_cuda,6,5649,0.0010621348911311736
bugfix | production_code | attention+kernels_operators | cpu,6,5649,0.0010621348911311736
bugfix | production_code | kv_cache_data_movement+worker_model_runner | backend_agnostic,6,5649,0.0010621348911311736
bugfix | production_code | model_loading_layers | nvidia_cuda,6,5649,0.0010621348911311736
feature | documentation_examples+production_code+tests | serving_api | backend_agnostic,6,5649,0.0010621348911311736
bugfix | documentation_examples+production_code+tests | serving_api | backend_agnostic,6,5649,0.0010621348911311736
feature | documentation_examples+production_code+tests | input_processing_multimodal+serving_api | backend_agnostic,6,5649,0.0010621348911311736
performance | production_code | attention | amd_rocm,6,5649,0.0010621348911311736
build | build+ci | support_only | nvidia_cuda,6,5649,0.0010621348911311736
performance | production_code | kernels_operators+moe | amd_rocm,6,5649,0.0010621348911311736
performance | production_code | attention | nvidia_cuda,6,5649,0.0010621348911311736
bugfix | production_code | kernels_operators | amd_rocm,6,5649,0.0010621348911311736
performance | production_code | kernels_operators | amd_rocm,6,5649,0.0010621348911311736
bugfix | production_code | compilation+speculative_decoding+worker_model_runner | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code+tests | attention | amd_rocm,5,5649,0.0008851124092759781
refactor | production_code | sampling | backend_agnostic,5,5649,0.0008851124092759781
feature | production_code+tests | kv_cache_data_movement+reliability_observability | cpu,5,5649,0.0008851124092759781
bugfix | documentation_examples+production_code+tests | kv_cache_data_movement | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code | kernels_operators+moe+quantization | amd_rocm,5,5649,0.0008851124092759781
documentation | developer_tooling+documentation_examples | support_only | backend_agnostic,5,5649,0.0008851124092759781
documentation | documentation_examples | support_only | amd_rocm+nvidia_cuda,5,5649,0.0008851124092759781
bugfix | benchmarks | support_only | nvidia_cuda,5,5649,0.0008851124092759781
bugfix | production_code | device_platform | intel_xpu,5,5649,0.0008851124092759781
feature | production_code | reliability_observability | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code+tests | reliability_observability | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code | kernels_operators+quantization | amd_rocm+nvidia_cuda,5,5649,0.0008851124092759781
ci | ci | support_only | amd_rocm+cpu+nvidia_cuda,5,5649,0.0008851124092759781
bugfix | production_code | attention+model_implementation | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code+tests | model_implementation+speculative_decoding | backend_agnostic,5,5649,0.0008851124092759781
refactor | production_code | input_processing_multimodal+model_implementation | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code | model_implementation+quantization | nvidia_cuda,5,5649,0.0008851124092759781
performance | production_code+tests | attention+kernels_operators | nvidia_cuda,5,5649,0.0008851124092759781
performance | production_code | kv_cache_data_movement | backend_agnostic,5,5649,0.0008851124092759781
feature | production_code | attention+kernels_operators | cpu,5,5649,0.0008851124092759781
bugfix | production_code+tests | kernels_operators+moe | nvidia_cuda,5,5649,0.0008851124092759781
bugfix | production_code | quantization | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code | kernels_operators+quantization | intel_xpu,5,5649,0.0008851124092759781
bugfix | build | support_only | backend_agnostic,5,5649,0.0008851124092759781
performance | production_code | kernels_operators+model_implementation | nvidia_cuda,5,5649,0.0008851124092759781
build | build | support_only | cpu,5,5649,0.0008851124092759781
test | ci+tests | support_only | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code+tests | quantization | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code | worker_model_runner | nvidia_cuda,5,5649,0.0008851124092759781
bugfix | production_code | scheduler | backend_agnostic,5,5649,0.0008851124092759781
performance | production_code | input_processing_multimodal | backend_agnostic,5,5649,0.0008851124092759781
bugfix | production_code | kernels_operators+moe | amd_rocm,5,5649,0.0008851124092759781
feature | production_code | model_loading_layers | backend_agnostic,4,5649,0.0007080899274207824
ci | ci+developer_tooling | support_only | backend_agnostic,4,5649,0.0007080899274207824
performance | production_code+tests | kernels_operators+moe | nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code | kernels_operators+moe | intel_xpu,4,5649,0.0007080899274207824
performance | production_code | kernels_operators | nvidia_cuda,4,5649,0.0007080899274207824
maintenance | production_code | serving_api | backend_agnostic,4,5649,0.0007080899274207824
test | ci+tests | support_only | amd_rocm+nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code+tests | kv_cache_data_movement | amd_rocm,4,5649,0.0007080899274207824
ci | developer_tooling | support_only | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | compilation+model_implementation | backend_agnostic,4,5649,0.0007080899274207824
refactor | production_code | distributed_execution+worker_model_runner | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code+tests | moe+quantization | amd_rocm,4,5649,0.0007080899274207824
ci | ci | support_only | amd_rocm+cpu,4,5649,0.0007080899274207824
bugfix | production_code+tests | sampling+serving_api | backend_agnostic,4,5649,0.0007080899274207824
refactor | production_code+tests | model_implementation | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | lora+model_implementation | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | input_processing_multimodal+serving_api | backend_agnostic,4,5649,0.0007080899274207824
feature | production_code | device_platform | intel_xpu,4,5649,0.0007080899274207824
bugfix | production_code | moe+quantization | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code+tests | speculative_decoding+worker_model_runner | backend_agnostic,4,5649,0.0007080899274207824
performance | production_code | speculative_decoding+worker_model_runner | backend_agnostic,4,5649,0.0007080899274207824
performance | production_code | sampling | backend_agnostic,4,5649,0.0007080899274207824
feature | documentation_examples+production_code+tests | input_processing_multimodal+model_implementation+model_loading_layers | backend_agnostic,4,5649,0.0007080899274207824
bugfix | build+production_code | kernels_operators | cpu,4,5649,0.0007080899274207824
refactor | production_code | moe+quantization | nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code | attention+kernels_operators | intel_xpu,4,5649,0.0007080899274207824
performance | production_code | attention+kernels_operators | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | other | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code+tests | compilation | nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code | model_implementation+moe | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | model_loading_layers+quantization | nvidia_cuda,4,5649,0.0007080899274207824
feature | production_code | input_processing_multimodal+serving_api | backend_agnostic,4,5649,0.0007080899274207824
feature | production_code | quantization | nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code | model_implementation+quantization+speculative_decoding | backend_agnostic,4,5649,0.0007080899274207824
feature | production_code+tests | attention | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | model_implementation+moe | nvidia_cuda,4,5649,0.0007080899274207824
ci | ci+tests | support_only | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code+tests | quantization | amd_rocm,4,5649,0.0007080899274207824
feature | production_code | compilation | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code+tests | kv_cache_data_movement+reliability_observability | backend_agnostic,4,5649,0.0007080899274207824
feature | production_code+tests | model_implementation+speculative_decoding | backend_agnostic,4,5649,0.0007080899274207824
feature | production_code+tests | input_processing_multimodal+model_implementation | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | kernels_operators+moe | backend_agnostic,4,5649,0.0007080899274207824
test | ci+tests | support_only | intel_xpu,4,5649,0.0007080899274207824
bugfix | production_code+tests | model_implementation+model_loading_layers | backend_agnostic,4,5649,0.0007080899274207824
bugfix | build | support_only | intel_xpu,4,5649,0.0007080899274207824
feature | production_code+tests | engine+serving_api | backend_agnostic,4,5649,0.0007080899274207824
performance | production_code | kernels_operators+moe+quantization | nvidia_cuda,4,5649,0.0007080899274207824
performance | production_code+tests | kernels_operators+moe | amd_rocm+nvidia_cuda,4,5649,0.0007080899274207824
performance | production_code | attention+kernels_operators | nvidia_cuda,4,5649,0.0007080899274207824
maintenance | production_code | model_implementation | backend_agnostic,4,5649,0.0007080899274207824
performance | production_code+tests | compilation | backend_agnostic,4,5649,0.0007080899274207824
bugfix | production_code | kv_cache_data_movement | nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code | attention+device_platform | amd_rocm,4,5649,0.0007080899274207824
bugfix | production_code | attention+worker_model_runner | nvidia_cuda,4,5649,0.0007080899274207824
bugfix | production_code | device_platform | amd_rocm,4,5649,0.0007080899274207824
bugfix | production_code | model_loading_layers | google_tpu,4,5649,0.0007080899274207824
bugfix | production_code | model_implementation | amd_rocm,4,5649,0.0007080899274207824
feature | production_code | moe+quantization | intel_xpu,4,5649,0.0007080899274207824
feature | production_code+tests | moe+quantization | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code | compilation+kernels_operators | amd_rocm,3,5649,0.0005310674455655868
build | build+documentation_examples | support_only | cpu,3,5649,0.0005310674455655868
other | documentation_examples+production_code+tests | input_processing_multimodal+model_implementation | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | compilation+kv_cache_data_movement+worker_model_runner | backend_agnostic,3,5649,0.0005310674455655868
ci | build+ci | support_only | backend_agnostic,3,5649,0.0005310674455655868
feature | production_code+tests | kernels_operators+moe | nvidia_cuda,3,5649,0.0005310674455655868
feature | build+production_code | kernels_operators+quantization | cpu,3,5649,0.0005310674455655868
bugfix | production_code | lora+moe | backend_agnostic,3,5649,0.0005310674455655868
maintenance | developer_tooling+documentation_examples | support_only | backend_agnostic,3,5649,0.0005310674455655868
refactor | production_code+tests | configuration_shared_infrastructure | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code+tests | model_implementation | amd_rocm,3,5649,0.0005310674455655868
feature | documentation_examples+production_code | model_implementation | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | reliability_observability+serving_api | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | model_implementation+model_loading_layers+quantization | nvidia_cuda,3,5649,0.0005310674455655868
performance | production_code | moe | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code | compilation+device_platform | intel_xpu,3,5649,0.0005310674455655868
feature | production_code | kv_cache_data_movement+reliability_observability | backend_agnostic,3,5649,0.0005310674455655868
refactor | build+production_code | kernels_operators+quantization | nvidia_cuda,3,5649,0.0005310674455655868
performance | production_code | attention+compilation | amd_rocm,3,5649,0.0005310674455655868
bugfix | production_code+tests | kernels_operators+quantization | nvidia_cuda,3,5649,0.0005310674455655868
performance | production_code | kernels_operators+model_implementation+moe | amd_rocm,3,5649,0.0005310674455655868
refactor | production_code | kernels_operators+quantization | amd_rocm+nvidia_cuda,3,5649,0.0005310674455655868
refactor | production_code+tests | moe | backend_agnostic,3,5649,0.0005310674455655868
performance | production_code+tests | worker_model_runner | backend_agnostic,3,5649,0.0005310674455655868
bugfix | documentation_examples+production_code | attention | amd_rocm,3,5649,0.0005310674455655868
bugfix | production_code+tests | distributed_execution+worker_model_runner | backend_agnostic,3,5649,0.0005310674455655868
refactor | production_code | compilation | backend_agnostic,3,5649,0.0005310674455655868
performance | production_code+tests | kernels_operators | nvidia_cuda,3,5649,0.0005310674455655868
refactor | production_code+tests | configuration_shared_infrastructure+serving_api | backend_agnostic,3,5649,0.0005310674455655868
test | tests | support_only | amd_rocm+intel_xpu,3,5649,0.0005310674455655868
feature | production_code+tests | sampling+serving_api | backend_agnostic,3,5649,0.0005310674455655868
feature | production_code+tests | reliability_observability | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | compilation | cpu,3,5649,0.0005310674455655868
performance | production_code | serving_api | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | compilation+moe | nvidia_cuda,3,5649,0.0005310674455655868
refactor | production_code+tests | distributed_execution+moe | backend_agnostic,3,5649,0.0005310674455655868
performance | production_code | kernels_operators+sampling | backend_agnostic,3,5649,0.0005310674455655868
test | documentation_examples+tests | support_only | backend_agnostic,3,5649,0.0005310674455655868
build | build | support_only | amd_rocm+nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code+tests | moe | nvidia_cuda,3,5649,0.0005310674455655868
performance | build | support_only | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code | attention+model_implementation | nvidia_cuda,3,5649,0.0005310674455655868
feature | production_code | kernels_operators+moe+quantization | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code+tests | configuration_shared_infrastructure+serving_api | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | moe | cpu,3,5649,0.0005310674455655868
build | build | support_only | amd_rocm+cpu+intel_xpu+nvidia_cuda,3,5649,0.0005310674455655868
performance | production_code | attention+kernels_operators | cpu,3,5649,0.0005310674455655868
bugfix | production_code+tests | moe | backend_agnostic,3,5649,0.0005310674455655868
feature | benchmarks+documentation_examples | support_only | backend_agnostic,3,5649,0.0005310674455655868
bugfix | documentation_examples+production_code | kv_cache_data_movement | amd_rocm,3,5649,0.0005310674455655868
feature | production_code+tests | other | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code+tests | compilation | amd_rocm+nvidia_cuda,3,5649,0.0005310674455655868
performance | production_code | speculative_decoding | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | kernels_operators+sampling | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | attention+compilation | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code+tests | attention+kv_cache_data_movement+worker_model_runner | backend_agnostic,3,5649,0.0005310674455655868
feature | production_code+tests | quantization | nvidia_cuda,3,5649,0.0005310674455655868
performance | production_code+tests | kernels_operators+model_loading_layers | amd_rocm,3,5649,0.0005310674455655868
performance | production_code+tests | attention+model_implementation | nvidia_cuda,3,5649,0.0005310674455655868
feature | documentation_examples+production_code | input_processing_multimodal | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | distributed_execution+worker_model_runner | intel_xpu,3,5649,0.0005310674455655868
performance | production_code+tests | attention+kernels_operators | amd_rocm,3,5649,0.0005310674455655868
ci | tests | support_only | backend_agnostic,3,5649,0.0005310674455655868
bugfix | benchmarks+documentation_examples | support_only | backend_agnostic,3,5649,0.0005310674455655868
performance | production_code | moe+quantization | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code | kernels_operators+kv_cache_data_movement | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code | kernels_operators+model_implementation | backend_agnostic,3,5649,0.0005310674455655868
refactor | production_code | distributed_execution | backend_agnostic,3,5649,0.0005310674455655868
refactor | production_code | model_implementation+model_loading_layers | backend_agnostic,3,5649,0.0005310674455655868
feature | production_code | kernels_operators+moe | nvidia_cuda,3,5649,0.0005310674455655868
feature | production_code+tests | kernels_operators+quantization | nvidia_cuda,3,5649,0.0005310674455655868
feature | production_code+tests | attention | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code+tests | engine+serving_api | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | model_implementation+speculative_decoding | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code | distributed_execution | cpu,3,5649,0.0005310674455655868
bugfix | documentation_examples | support_only | amd_rocm,3,5649,0.0005310674455655868
performance | production_code | compilation | nvidia_cuda,3,5649,0.0005310674455655868
documentation | documentation_examples+tests | support_only | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code+tests | model_loading_layers | amd_rocm,3,5649,0.0005310674455655868
performance | production_code+tests | serving_api | backend_agnostic,3,5649,0.0005310674455655868
feature | build+production_code+tests | serving_api | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | distributed_execution+worker_model_runner | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code | kernels_operators | backend_agnostic,3,5649,0.0005310674455655868
maintenance | production_code | other | backend_agnostic,3,5649,0.0005310674455655868
feature | documentation_examples+production_code+tests | model_implementation+model_loading_layers | backend_agnostic,3,5649,0.0005310674455655868
bugfix | production_code+tests | compilation+worker_model_runner | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code+tests | kv_cache_data_movement | nvidia_cuda,3,5649,0.0005310674455655868
bugfix | production_code+tests | kv_cache_data_movement+worker_model_runner | backend_agnostic,3,5649,0.0005310674455655868
refactor | production_code+tests | other | backend_agnostic,3,5649,0.0005310674455655868
feature | production_code+tests | kv_cache_data_movement+reliability_observability | backend_agnostic,3,5649,0.0005310674455655868
documentation | developer_tooling | support_only | backend_agnostic,3,5649,0.0005310674455655868
refactor | production_code+tests | moe+quantization | amd_rocm,3,5649,0.0005310674455655868
bugfix | production_code | kernels_operators | amd_rocm+nvidia_cuda,3,5649,0.0005310674455655868
