left,right,n,denominator,share
sampling,worker_model_runner,25,5649,0.0044255620463798905
device_platform,model_loading_layers,25,5649,0.0044255620463798905
distributed_execution,quantization,25,5649,0.0044255620463798905
device_platform,kv_cache_data_movement,25,5649,0.0044255620463798905
model_loading_layers,worker_model_runner,24,5649,0.004248539564524694
distributed_execution,model_loading_layers,23,5649,0.004071517082669499
engine,kv_cache_data_movement,23,5649,0.004071517082669499
compilation,device_platform,23,5649,0.004071517082669499
quantization,speculative_decoding,23,5649,0.004071517082669499
compilation,model_loading_layers,21,5649,0.0037174721189591076
device_platform,moe,21,5649,0.0037174721189591076
sampling,serving_api,20,5649,0.0035404496371039124
engine,input_processing_multimodal,19,5649,0.0033634271552487167
kv_cache_data_movement,reliability_observability,19,5649,0.0033634271552487167
kv_cache_data_movement,quantization,19,5649,0.0033634271552487167
device_platform,distributed_execution,18,5649,0.003186404673393521
input_processing_multimodal,sampling,17,5649,0.0030093821915383252
moe,serving_api,17,5649,0.0030093821915383252
model_loading_layers,serving_api,17,5649,0.0030093821915383252
quantization,worker_model_runner,16,5649,0.0028323597096831295
configuration_shared_infrastructure,serving_api,16,5649,0.0028323597096831295
device_platform,model_implementation,16,5649,0.0028323597096831295
compilation,input_processing_multimodal,15,5649,0.0026553372278279343
engine,scheduler,15,5649,0.0026553372278279343
kv_cache_data_movement,moe,15,5649,0.0026553372278279343
model_implementation,sampling,15,5649,0.0026553372278279343
configuration_shared_infrastructure,worker_model_runner,15,5649,0.0026553372278279343
input_processing_multimodal,kv_cache_data_movement,14,5649,0.0024783147459727386
scheduler,worker_model_runner,14,5649,0.0024783147459727386
reliability_observability,serving_api,14,5649,0.0024783147459727386
input_processing_multimodal,moe,13,5649,0.002301292264117543
attention,configuration_shared_infrastructure,13,5649,0.002301292264117543
reliability_observability,worker_model_runner,13,5649,0.002301292264117543
attention,sampling,12,5649,0.002124269782262347
kernels_operators,serving_api,12,5649,0.002124269782262347
input_processing_multimodal,kernels_operators,12,5649,0.002124269782262347
lora,quantization,12,5649,0.002124269782262347
lora,model_loading_layers,12,5649,0.002124269782262347
configuration_shared_infrastructure,device_platform,12,5649,0.002124269782262347
scheduler,speculative_decoding,11,5649,0.0019472473004071517
configuration_shared_infrastructure,kernels_operators,11,5649,0.0019472473004071517
engine,reliability_observability,11,5649,0.0019472473004071517
kv_cache_data_movement,model_loading_layers,11,5649,0.0019472473004071517
device_platform,speculative_decoding,11,5649,0.0019472473004071517
engine,moe,11,5649,0.0019472473004071517
input_processing_multimodal,quantization,11,5649,0.0019472473004071517
distributed_execution,input_processing_multimodal,10,5649,0.0017702248185519562
lora,worker_model_runner,10,5649,0.0017702248185519562
compilation,configuration_shared_infrastructure,10,5649,0.0017702248185519562
compilation,engine,10,5649,0.0017702248185519562
distributed_execution,reliability_observability,10,5649,0.0017702248185519562
kv_cache_data_movement,serving_api,10,5649,0.0017702248185519562
scheduler,serving_api,10,5649,0.0017702248185519562
configuration_shared_infrastructure,input_processing_multimodal,9,5649,0.0015932023366967605
compilation,lora,9,5649,0.0015932023366967605
distributed_execution,lora,9,5649,0.0015932023366967605
lora,serving_api,9,5649,0.0015932023366967605
other,serving_api,9,5649,0.0015932023366967605
configuration_shared_infrastructure,model_implementation,9,5649,0.0015932023366967605
configuration_shared_infrastructure,engine,8,5649,0.0014161798548415648
compilation,reliability_observability,8,5649,0.0014161798548415648
engine,sampling,8,5649,0.0014161798548415648
distributed_execution,scheduler,8,5649,0.0014161798548415648
engine,model_implementation,8,5649,0.0014161798548415648
device_platform,engine,8,5649,0.0014161798548415648
configuration_shared_infrastructure,model_loading_layers,8,5649,0.0014161798548415648
compilation,sampling,7,5649,0.0012391573729863693
input_processing_multimodal,lora,7,5649,0.0012391573729863693
lora,speculative_decoding,7,5649,0.0012391573729863693
compilation,serving_api,7,5649,0.0012391573729863693
configuration_shared_infrastructure,sampling,7,5649,0.0012391573729863693
moe,sampling,7,5649,0.0012391573729863693
attention,lora,6,5649,0.0010621348911311736
distributed_execution,sampling,6,5649,0.0010621348911311736
kv_cache_data_movement,sampling,6,5649,0.0010621348911311736
lora,sampling,6,5649,0.0010621348911311736
serving_api,speculative_decoding,6,5649,0.0010621348911311736
model_loading_layers,reliability_observability,6,5649,0.0010621348911311736
device_platform,input_processing_multimodal,6,5649,0.0010621348911311736
attention,engine,6,5649,0.0010621348911311736
device_platform,sampling,6,5649,0.0010621348911311736
model_loading_layers,sampling,6,5649,0.0010621348911311736
quantization,sampling,6,5649,0.0010621348911311736
attention,serving_api,6,5649,0.0010621348911311736
attention,scheduler,6,5649,0.0010621348911311736
kernels_operators,scheduler,6,5649,0.0010621348911311736
input_processing_multimodal,scheduler,5,5649,0.0008851124092759781
configuration_shared_infrastructure,speculative_decoding,5,5649,0.0008851124092759781
quantization,serving_api,5,5649,0.0008851124092759781
input_processing_multimodal,reliability_observability,5,5649,0.0008851124092759781
input_processing_multimodal,other,5,5649,0.0008851124092759781
compilation,scheduler,5,5649,0.0008851124092759781
configuration_shared_infrastructure,moe,5,5649,0.0008851124092759781
moe,scheduler,5,5649,0.0008851124092759781
kv_cache_data_movement,lora,4,5649,0.0007080899274207824
quantization,reliability_observability,4,5649,0.0007080899274207824
engine,kernels_operators,4,5649,0.0007080899274207824
engine,model_loading_layers,4,5649,0.0007080899274207824
kernels_operators,reliability_observability,4,5649,0.0007080899274207824
configuration_shared_infrastructure,distributed_execution,4,5649,0.0007080899274207824
configuration_shared_infrastructure,quantization,4,5649,0.0007080899274207824
device_platform,lora,4,5649,0.0007080899274207824
configuration_shared_infrastructure,lora,4,5649,0.0007080899274207824
attention,reliability_observability,4,5649,0.0007080899274207824
reliability_observability,scheduler,4,5649,0.0007080899274207824
model_implementation,scheduler,4,5649,0.0007080899274207824
sampling,scheduler,4,5649,0.0007080899274207824
attention,other,3,5649,0.0005310674455655868
kernels_operators,other,3,5649,0.0005310674455655868
model_implementation,other,3,5649,0.0005310674455655868
configuration_shared_infrastructure,kv_cache_data_movement,3,5649,0.0005310674455655868
other,worker_model_runner,3,5649,0.0005310674455655868
moe,reliability_observability,3,5649,0.0005310674455655868
engine,quantization,2,5649,0.0003540449637103912
engine,speculative_decoding,2,5649,0.0003540449637103912
configuration_shared_infrastructure,other,2,5649,0.0003540449637103912
quantization,scheduler,2,5649,0.0003540449637103912
moe,other,2,5649,0.0003540449637103912
other,quantization,2,5649,0.0003540449637103912
device_platform,reliability_observability,2,5649,0.0003540449637103912
other,speculative_decoding,2,5649,0.0003540449637103912
model_implementation,reliability_observability,2,5649,0.0003540449637103912
engine,lora,1,5649,0.0001770224818551956
device_platform,serving_api,1,5649,0.0001770224818551956
other,scheduler,1,5649,0.0001770224818551956
compilation,other,1,5649,0.0001770224818551956
distributed_execution,other,1,5649,0.0001770224818551956
device_platform,other,1,5649,0.0001770224818551956
kv_cache_data_movement,other,1,5649,0.0001770224818551956
lora,other,1,5649,0.0001770224818551956
model_loading_layers,other,1,5649,0.0001770224818551956
other,sampling,1,5649,0.0001770224818551956
configuration_shared_infrastructure,scheduler,1,5649,0.0001770224818551956
reliability_observability,sampling,1,5649,0.0001770224818551956
other,reliability_observability,1,5649,0.0001770224818551956
device_platform,scheduler,1,5649,0.0001770224818551956
model_loading_layers,scheduler,1,5649,0.0001770224818551956
